Activity Id,Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),GPX File,Average Pace (seconds)
ec81df48-adf5-4e12-bb69-c7b5489c4664,8/6/2023 10:43,Running,1.91,20:38,10:47,5.57,285.0,107.0,142.0,2023-08-06-104332.gpx,647.0
1ed8826d-5685-45a6-a50b-e491c01602f3,8/3/2023 19:42,Running,3.36,36:06:00,10:45,5.58,500.0,190.0,158.0,2023-08-03-194206.gpx,645.0
7555a62d-ee51-4dd9-884e-8ead83527da8,8/2/2023 21:18,Running,2.25,25:08:00,11:11,5.37,332.0,134.0,149.0,2023-08-02-211805.gpx,671.0
1762f194-d1b1-4be2-b7a8-dff47149765c,7/27/2023 20:29,Running,2.15,25:52:00,12:01,4.99,318.0,112.0,156.6818181818182,2023-07-27-202935.gpx,721.0
2edeb3a2-e160-4547-b3d7-bab45d3ded0d,8/9/2023 19:45,Running,2.304142259368084,24:14:00,10:23,5.601042150909565,354.11561786582513,130.8021537051514,144.82047470525518,2023-08-09-194525.gpx,622.8426008985798
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,3.0097594319370047,31:27:00,10:25,5.671827551742451,457.07131077665093,145.94255202792334,165.04455916260238,2023-10-04-095707.gpx,624.9481389121362
42232153-070b-435d-b7c4-9e3f1a3b641e,10/3/2023 8:23,Running,1.9900360360937428,18:09,9:29,6.323151057083991,288.09777054381505,95.86267442639789,156.1894583829107,2023-10-03-082352.gpx,569.1332874037341
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,2.7766337693424776,31:27:00,10:25,5.722657980413208,457.08198512263175,145.9274125069877,165.02809583744084,2023-10-04-095707.gpx,624.9007771618561
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,3.9584657848389724,45:06:00,11:14,5.327356774525756,599.086373416999,145.0614020366957,166.12796926503415,2023-09-16-191230.gpx,674.0716683085295
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,2.0459431850186127,20:04,9:52,6.162464463624743,302.1440008541327,93.08798010536039,156.72937835107643,2024-06-11-164314.gpx,591.8548033684039
43e8964a-646b-4f9f-b432-a56ae9207db0,6/16/2024 17:51,Running,2.0794270902547343,19:41,9:49,6.072994389641724,294.97011470536,76.83358540658564,144.01360759922022,2024-06-16-175103.gpx,589.0278701708722
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.380113692417332,22:25,9:50,6.126662292338062,337.1520506526611,107.01713299800086,173.96630544779853,2023-09-26-204557.gpx,589.9182974879303
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.544106253155732,25:55:00,9:50,6.214856372647648,396.78404014555383,132.90806079246752,157.03618762764498,2023-10-02-092101.gpx,590.0665895900047
76953c93-0f68-4891-a75f-8392788244a9,6/11/2024 17:03,Running,-0.13264529439777822,0:01,,5.691115360173428,0.1641261062783345,0.014497547679584943,152.04914218441428,2024-06-11-170300.gpx,627.3108731658407
7794ebe9-1da4-49c8-b186-f183f4dd3bb2,10/8/2023 12:04,Running,2.9031135994271926,29:30:00,9:31,6.206556460074463,466.92531151311204,145.04935101333683,161.0918101756606,2023-10-08-120433.gpx,571.2217923869506
7555a62d-ee51-4dd9-884e-8ead83527da8,8/2/2023 21:18,Running,2.249962352823098,25:08:00,11:11,5.417065794024135,331.9053330182577,134.1297176311715,149.04192155293399,2023-08-02-211805.gpx,671.0378838668788
1fd0d33a-49a2-4da2-9292-02f831b3a5e3,6/20/2024 19:48,Running,2.047299482583909,18:52,9:23,6.4251261756764615,300.0607610404428,78.01092263280275,156.9522573566223,2024-06-20-194818.gpx,562.9951875499471
43e8964a-646b-4f9f-b432-a56ae9207db0,6/16/2024 17:51,Running,2.014705425615946,19:41,9:49,6.222831737599785,294.84708092026364,76.83137033186365,144.27915054704923,2024-06-16-175103.gpx,588.9341962286212
4e0d89ed-5b21-463d-8311-03fe35d74da5,11/26/2023 16:14,Running,1.7430075896282624,21:09,11:47,5.091654831428354,275.92715662353595,95.17093749946494,156.69548957509133,2023-11-26-161412.gpx,706.8388548879575
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,2.878443651923105,31:27:00,10:25,5.738165359942629,457.0591860507664,146.04338984071475,165.0762246586491,2023-10-04-095707.gpx,624.8587243743389
4e0d89ed-5b21-463d-8311-03fe35d74da5,11/26/2023 16:14,Running,1.650766106445049,21:09,11:47,5.249127010145318,276.13919102704773,95.01359212538115,156.6064418732531,2023-11-26-161412.gpx,707.0892384809068
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,3.9635862246396742,45:06:00,11:14,5.430059020554703,598.8774608712544,145.06818872427138,166.02657902662904,2023-09-16-191230.gpx,674.0565162535646
13eda478-89e6-48fc-8bb8-bf6dabfa68f4,9/27/2023 18:51,Running,3.4467894570512803,34:01:00,9:58,5.823668361770394,511.20126099731146,159.89685269527055,164.9516815326531,2023-09-27-185128.gpx,597.8522303049568
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.2754287313227417,22:25,9:50,6.03288512586427,337.08818103037726,106.92896142407184,173.81131342572206,2023-09-26-204557.gpx,589.9428910063073
016272ee-a7cb-40d1-9fb1-e89e214bf205,6/11/2024 16:43,Running,2.086102537807,19:28,9:41,6.272778445713758,243.52450349326787,339.93994911408606,159.07705596655913,2024-06-11-164323.gpx,580.9881300920473
1fd0d33a-49a2-4da2-9292-02f831b3a5e3,6/20/2024 19:48,Running,1.9975799913263483,18:52,9:23,6.437035403829849,299.8264892655052,78.0361382706203,157.21046799859073,2024-06-20-194818.gpx,562.956935755921
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.56901205203506,25:55:00,9:50,6.116408641584167,397.0742881408848,132.96827607407334,157.01155573285402,2023-10-02-092101.gpx,589.8977814526037
016272ee-a7cb-40d1-9fb1-e89e214bf205,6/11/2024 16:43,Running,2.033136185767474,19:28,9:41,6.248480512408872,243.4824652023549,340.0234506445514,158.8913145161555,2024-06-11-164323.gpx,580.9915745406117
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,4.038329590188895,45:06:00,11:14,5.373110865176281,598.9299244385409,145.1511267688469,166.07786119886208,2023-09-16-191230.gpx,673.8685010827559
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,3.9044245988120325,45:06:00,11:14,5.420972887735131,599.1114332101484,145.0439929687159,166.04120315305883,2023-09-16-191230.gpx,674.0119970412688
76953c93-0f68-4891-a75f-8392788244a9,6/11/2024 17:03,Running,0.006595729546841238,0:01,,5.647568030312741,0.08835668476751099,-0.03235587829837621,151.96609889938614,2024-06-11-170300.gpx,627.0599321696532
26bad507-9506-4aa3-ac24-99cdeb801b60,9/25/2023 18:37,Running,2.7473532539600645,28:49:00,10:07,6.052360908682258,428.91036185045596,139.0065079031066,156.7731886352416,2023-09-25-183732.gpx,607.1985635530317
535c94cc-4323-4e30-a77a-143ecb38512b,8/11/2023 20:19,Running,3.383135223269693,34:07:00,10:13,5.794834297804911,496.1142177954901,177.09722915245487,164.78748483379857,2023-08-11-201935.gpx,613.055254849082
c3c0f61e-07db-4e51-a333-ee4db9394fb1,9/6/2023 19:29,Running,4.260908122240613,44:01:00,10:54,5.462579443736581,594.8941214049663,166.89767739535603,153.94858418101148,2023-09-06-192913.gpx,653.9997778762248
ef26ae07-5f8e-4c2e-a959-a41526587244,6/13/2024 16:25,Running,1.8910750981569835,20:25,10:06,6.041373038092833,247.3501528766685,338.9112631577741,155.0023295003397,2024-06-13-162553.gpx,606.0090044577086
13eda478-89e6-48fc-8bb8-bf6dabfa68f4,9/27/2023 18:51,Running,3.421278342253863,34:01:00,9:58,5.992710131803678,510.94150359526776,159.8769478556376,165.08755731231764,2023-09-27-185128.gpx,598.035601870088
c3c0f61e-07db-4e51-a333-ee4db9394fb1,9/6/2023 19:29,Running,3.991221432431141,44:01:00,10:54,5.474822244713547,594.991355760494,167.05718471452323,153.96465472135847,2023-09-06-192913.gpx,653.9870876310133
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,1.9633514838267137,20:04,9:52,5.995069866575718,302.1159738791963,93.00027359055008,156.57095864973712,2024-06-11-164314.gpx,591.9051951284783
f9d37406-d622-43dc-8813-bc0059b2a5de,6/13/2024 16:25,Running,2.19435463966687,24:06:00,11:25,5.257935393569669,314.9911190082095,81.93146006517627,156.85761128183503,2024-06-13-162503.gpx,684.83381348105
7555a62d-ee51-4dd9-884e-8ead83527da8,8/2/2023 21:18,Running,2.1556388319317916,25:08:00,11:11,5.476758934413805,332.03512272192705,134.13764188978044,149.1813579027983,2023-08-02-211805.gpx,671.1485024337089
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,4.008014734860226,43:40:00,10:52,5.435953038224558,586.0011133822519,210.95147995278546,155.12945487908087,2023-09-11-211315.gpx,651.858256997513
ec81df48-adf5-4e12-bb69-c7b5489c4664,8/6/2023 10:43,Running,1.8303072005321193,20:38,10:47,5.536412670203025,285.0019403218662,106.90857360074648,142.12419044815462,2023-08-06-104332.gpx,646.8987074563076
1762f194-d1b1-4be2-b7a8-dff47149765c,7/27/2023 20:29,Running,2.1105371384055087,25:52:00,12:01,4.9696730600271595,317.8808227240891,112.1459211038445,156.67812333373902,2023-07-27-202935.gpx,721.0248913930428
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,4.045673440196541,43:40:00,10:52,5.542817978502796,585.9336565743316,211.03912163651913,154.90877046119897,2023-09-11-211315.gpx,651.9319968424882
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,4.074236332960475,43:40:00,10:52,5.410762399993216,586.1516457089758,211.16159526119333,154.92770412123696,2023-09-11-211315.gpx,652.0202236132925
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.26580052641211,22:25,9:50,6.1260052616898895,336.9218079952493,106.93679232145503,174.1149567107106,2023-09-26-204557.gpx,589.8709725816811
734f33ee-5bec-4ddf-9d66-8762cf9bd75b,8/7/2023 19:14,Running,3.5096651713201976,39:09:00,10:46,5.481016204449124,539.0103554951861,174.81687718676264,158.99952118609679,2023-08-07-191444.gpx,646.0159264529373
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,3.066777034602001,31:27:00,10:25,5.669350951410933,457.0900588952875,146.0038762015045,164.93122979123476,2023-10-04-095707.gpx,625.189601706078
1ed8826d-5685-45a6-a50b-e491c01602f3,8/3/2023 19:42,Running,3.3826238261698345,36:06:00,10:45,5.666034385211613,500.1603760068857,190.0431827594854,158.02672775345764,2023-08-03-194206.gpx,645.0863239166559
ec81df48-adf5-4e12-bb69-c7b5489c4664,8/6/2023 10:43,Running,1.8465478913327493,20:38,10:47,5.654920807686488,285.08974351796445,107.24467973938548,142.01797632978187,2023-08-06-104332.gpx,647.0644450655298
016272ee-a7cb-40d1-9fb1-e89e214bf205,6/11/2024 16:43,Running,2.1201944317682453,19:28,9:41,6.434244703783379,243.41826978459503,339.92296836338403,159.16603203217352,2024-06-11-164323.gpx,581.1493818235634
065d77ca-8413-4bb2-8f30-a1cf9753e15c,6/19/2024 12:56,Running,2.1203874305966797,22:34,10:29,5.732377334034239,321.92494476444205,150.93491295458142,160.1749847648868,2024-06-19-125649.gpx,628.9393927014925
7555a62d-ee51-4dd9-884e-8ead83527da8,8/2/2023 21:18,Running,2.069017523067241,25:08:00,11:11,5.227564141932255,331.8884525483567,133.95476035483603,148.92157990229808,2023-08-02-211805.gpx,671.0155758123376
43e8964a-646b-4f9f-b432-a56ae9207db0,6/16/2024 17:51,Running,1.9317782847950746,19:41,9:49,6.278245187167125,294.97398470345985,77.0322335059578,144.07444353473852,2024-06-16-175103.gpx,589.0415489008215
535c94cc-4323-4e30-a77a-143ecb38512b,8/11/2023 20:19,Running,3.2986457815648866,34:07:00,10:13,5.916362337467612,495.97307795011733,177.05556868511664,165.0490239031814,2023-08-11-201935.gpx,612.9486286326548
1fd0d33a-49a2-4da2-9292-02f831b3a5e3,6/20/2024 19:48,Running,2.0799271833807484,18:52,9:23,6.387535814036365,299.92635877460054,78.06413111163391,157.10118703228898,2024-06-20-194818.gpx,562.9002878535719
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,4.054962014735371,45:06:00,11:14,5.364676306704424,598.9785919147663,144.94583574689952,166.08719221231092,2023-09-16-191230.gpx,674.1970840987436
1762f194-d1b1-4be2-b7a8-dff47149765c,7/27/2023 20:29,Running,2.114188568247056,25:52:00,12:01,4.66897067383653,317.8857583243651,111.98335066165497,156.6836877057813,2023-07-27-202935.gpx,720.7960998138586
065d77ca-8413-4bb2-8f30-a1cf9753e15c,6/19/2024 12:56,Running,2.1394845786122243,22:34,10:29,5.846593471181966,321.91452761051477,150.92308189968406,160.04144335618068,2024-06-19-125649.gpx,629.146538042615
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.4426982141884905,25:55:00,9:50,6.267182223419846,397.11926281389975,133.07317497765317,157.00263484105022,2023-10-02-092101.gpx,590.0047580013113
065d77ca-8413-4bb2-8f30-a1cf9753e15c,6/19/2024 12:56,Running,2.1342488120684817,22:34,10:29,5.817294842595997,321.97021610285424,151.0154092920945,160.0073985522831,2024-06-19-125649.gpx,629.0716449383915
42232153-070b-435d-b7c4-9e3f1a3b641e,10/3/2023 8:23,Running,1.8518320763939953,18:09,9:29,6.3990522013691695,288.00032754218734,96.09115519685116,156.08730396660502,2023-10-03-082352.gpx,569.0654943078512
26eb24ee-3f44-4ccd-9b17-8292e4795a19,9/9/2023 18:57,Running,3.974298608845335,41:58:00,10:23,5.761620250726867,591.9735341634533,166.86445017937746,148.90799202694708,2023-09-09-185703.gpx,623.0940696932387
1762f194-d1b1-4be2-b7a8-dff47149765c,7/27/2023 20:29,Running,2.0733993174821803,25:52:00,12:01,4.982835929715354,317.8480338250893,112.12297156101981,156.63301882584457,2023-07-27-202935.gpx,720.9630326750171
26bad507-9506-4aa3-ac24-99cdeb801b60,9/25/2023 18:37,Running,2.761536185367754,28:49:00,10:07,5.983058044693191,429.06690662584913,138.90773873888784,156.76023787890907,2023-09-25-183732.gpx,606.9394262347745
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,2.963693828550348,31:27:00,10:25,5.80015773890048,456.9643790510011,145.97939799030001,164.88268944144846,2023-10-04-095707.gpx,624.8551152987202
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.653695312229766,25:55:00,9:50,6.110029918398994,396.9739517049217,133.13711540895304,156.94597413699464,2023-10-02-092101.gpx,590.1138819843864
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,2.9989881950956483,31:27:00,10:25,5.861933132306908,456.88135229357175,146.03059430641702,165.0388593173798,2023-10-04-095707.gpx,625.1346960603682
26eb24ee-3f44-4ccd-9b17-8292e4795a19,9/9/2023 18:57,Running,3.9594498960703763,41:58:00,10:23,5.843190130457677,592.1334887220779,167.11695378985894,149.14208869875213,2023-09-09-185703.gpx,622.9939914915674
1fd0d33a-49a2-4da2-9292-02f831b3a5e3,6/20/2024 19:48,Running,1.8636372061271484,18:52,9:23,6.285399383600665,300.0003144818462,77.98406365587627,157.1231943197282,2024-06-20-194818.gpx,563.1051295823362
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,2.061082421271728,20:04,9:52,5.90610475325142,302.1277572652568,93.11610094591147,156.75271249726433,2024-06-11-164314.gpx,592.10306716019
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,3.050545481741393,31:27:00,10:25,5.60590523286261,457.2263621589489,146.04854264334585,165.04119290810385,2023-10-04-095707.gpx,624.7484424434557
ef26ae07-5f8e-4c2e-a959-a41526587244,6/13/2024 16:25,Running,1.8550486067998915,20:25,10:06,6.023462222201855,247.37163501215727,338.7694715289433,155.04459149326962,2024-06-13-162553.gpx,606.0002464310741
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,1.8332121464091071,20:04,9:52,6.107912025673303,302.09065268574716,92.89166739758983,156.59250077736095,2024-06-11-164314.gpx,592.1096846780123
ef26ae07-5f8e-4c2e-a959-a41526587244,6/13/2024 16:25,Running,2.059100271542324,20:25,10:06,5.990562357521581,247.25240094075468,339.12875669968025,154.88087711039057,2024-06-13-162553.gpx,605.9211767991334
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,4.123799475669569,43:40:00,10:52,5.412873602730731,585.9103293654941,211.0077421217227,155.078398375708,2023-09-11-211315.gpx,652.2493801873785
1ed8826d-5685-45a6-a50b-e491c01602f3,8/3/2023 19:42,Running,3.4923170925563007,36:06:00,10:45,5.626828894866277,500.1729436792136,189.98759439779073,157.98785408412417,2023-08-03-194206.gpx,644.9863222777025
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,2.890248165941129,31:27:00,10:25,5.629335346039929,457.0344061718468,146.00526242734483,165.11767221512292,2023-10-04-095707.gpx,625.0327593607857
43e8964a-646b-4f9f-b432-a56ae9207db0,6/16/2024 17:51,Running,1.9094931831779522,19:41,9:49,5.986789402450457,294.9709480628207,77.31714851660394,144.02029450576129,2024-06-16-175103.gpx,588.936245594619
7794ebe9-1da4-49c8-b186-f183f4dd3bb2,10/8/2023 12:04,Running,3.0202358869645907,29:30:00,9:31,6.3715385487967575,466.8713963259989,145.0577151141302,160.9795632899062,2023-10-08-120433.gpx,571.056067560027
1ed8826d-5685-45a6-a50b-e491c01602f3,8/3/2023 19:42,Running,3.4091748271694233,36:06:00,10:45,5.723502351339479,500.0245107252612,190.0440594298186,158.11434050959065,2023-08-03-194206.gpx,644.99585522457
4e0d89ed-5b21-463d-8311-03fe35d74da5,11/26/2023 16:14,Running,1.8701975329674223,21:09,11:47,5.112136088357678,275.98404100286575,94.98360778884603,156.68176690954326,2023-11-26-161412.gpx,707.0127673692539
4e0d89ed-5b21-463d-8311-03fe35d74da5,11/26/2023 16:14,Running,1.9276505549670127,21:09,11:47,5.123326262838013,275.85644338370355,95.1523631323066,156.66310689194063,2023-11-26-161412.gpx,707.0685040120917
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,2.1571374890706427,20:04,9:52,5.978620112887588,302.0090698314684,93.19389176342855,156.6148417953953,2024-06-11-164314.gpx,591.9094240662625
42232153-070b-435d-b7c4-9e3f1a3b641e,10/3/2023 8:23,Running,1.7047886074567418,18:09,9:29,6.338421208804923,287.9923896182761,96.09778092340753,155.86558471196727,2023-10-03-082352.gpx,569.1651216595587
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,3.905796230201313,43:40:00,10:52,5.622471179154077,585.9335544937325,211.14203171387467,155.10403827594595,2023-09-11-211315.gpx,652.128804854133
ef26ae07-5f8e-4c2e-a959-a41526587244,6/13/2024 16:25,Running,1.9607220581885227,20:25,10:06,5.866238329038125,247.2996768068827,338.9430084423623,154.98821108854244,2024-06-13-162553.gpx,606.0601287053664
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.634907372662099,25:55:00,9:50,6.152027947474016,396.935935544229,132.94768172014267,157.05278517664524,2023-10-02-092101.gpx,589.9344396291256
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,3.0645057478093833,31:27:00,10:25,5.721946888207924,457.1219061110453,145.97108101832603,165.02603807295063,2023-10-04-095707.gpx,625.0519973683074
2edeb3a2-e160-4547-b3d7-bab45d3ded0d,8/9/2023 19:45,Running,2.3418283301529947,24:14:00,10:23,5.8426081972864035,354.0009699452169,131.02481868967942,144.83284385229325,2023-08-09-194525.gpx,622.890299280094
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.6644747004110143,25:55:00,9:50,6.277203448993385,396.9091578861516,132.91328046204438,157.0020637823089,2023-10-02-092101.gpx,590.1742822349514
26eb24ee-3f44-4ccd-9b17-8292e4795a19,9/9/2023 18:57,Running,3.9782401675629866,41:58:00,10:23,5.711300108379902,591.9776589279277,166.85297297784396,148.9417764595441,2023-09-09-185703.gpx,622.9239055525529
016272ee-a7cb-40d1-9fb1-e89e214bf205,6/11/2024 16:43,Running,2.174528785736193,19:28,9:41,6.176471400947633,243.50226209701822,340.0480179238401,159.18977414409437,2024-06-11-164323.gpx,580.909084980947
7794ebe9-1da4-49c8-b186-f183f4dd3bb2,10/8/2023 12:04,Running,3.102314195835029,29:30:00,9:31,6.256866585747227,467.0607979289387,145.02020257932736,160.83146218012254,2023-10-08-120433.gpx,571.0773020770605
4e0d89ed-5b21-463d-8311-03fe35d74da5,11/26/2023 16:14,Running,1.7691246221283277,21:09,11:47,5.06302703452806,276.07865838527545,94.9103165161697,156.66328538840384,2023-11-26-161412.gpx,706.7859819366624
f9d37406-d622-43dc-8813-bc0059b2a5de,6/13/2024 16:25,Running,2.042883729342944,24:06:00,11:25,5.144312862484897,315.02262754429046,82.02730552554732,156.69709241033524,2024-06-13-162503.gpx,684.9818609518082
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,3.966325626700232,45:06:00,11:14,5.40724452523575,599.0757135715129,145.15196665281738,166.00794916737783,2023-09-16-191230.gpx,674.2295696819191
734f33ee-5bec-4ddf-9d66-8762cf9bd75b,8/7/2023 19:14,Running,3.5173502174546565,39:09:00,10:46,5.41739206914159,539.0070884431398,175.01748345179237,158.96046510719944,2023-08-07-191444.gpx,645.9305677293853
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,4.151589011063946,43:40:00,10:52,5.518810570650376,585.9380393248995,210.8746618122081,154.96611163059367,2023-09-11-211315.gpx,652.0188837545894
535c94cc-4323-4e30-a77a-143ecb38512b,8/11/2023 20:19,Running,3.254023873711069,34:07:00,10:13,6.050655884875994,495.99225028300185,177.09088941880162,164.98732591288714,2023-08-11-201935.gpx,613.1093737146491
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.3008539372622194,22:25,9:50,6.244765219502251,337.08950379483656,107.18961968906844,174.03725001990168,2023-09-26-204557.gpx,590.2006410712543
43e8964a-646b-4f9f-b432-a56ae9207db0,6/16/2024 17:51,Running,1.9557780489180796,19:41,9:49,6.260764941665388,294.94990622210344,77.01996536634809,144.11917051817474,2024-06-16-175103.gpx,588.9780414288182
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.373355040838788,22:25,9:50,6.029943064469967,336.90477811209894,106.99516693575023,174.17540807243847,2023-09-26-204557.gpx,589.9857768134628
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,1.922893892600126,20:04,9:52,6.119762459507153,301.83308874022447,93.06503994085648,156.47124975538307,2024-06-11-164314.gpx,592.1470048832085
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.159355773709188,22:25,9:50,6.028859064751283,336.96112223208166,107.01256312589862,173.96833734968996,2023-09-26-204557.gpx,590.1672407210626
